NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
534.9,617.5,528.2,609.1,600.0
423.3,434.6,441.2,429.8,80.0
418.5,452.9,389.7,426.5,360.0
381.7,508.3,409.9,389.7,340.0
440.7,673.7,547.2,532.5,540.0
518.5,613.9,545.1,580.0,600.0
436.4,422.5,518.8,435.8,480.0
484.6,619.9,415.4,514.0,520.0
505.2,605.6,587.6,441.8,540.0
470.5,580.8,557.7,441.0,560.0
491.8,661.4,581.9,711.4,640.0
540.6,669.6,580.2,709.0,440.0
573.9,652.4,588.0,527.6,660.0
606.2,564.5,570.8,684.5,600.0
604.7,681.5,609.8,707.8,560.0
547.1,593.1,497.4,589.0,320.0
473.1,506.0,415.7,520.4,400.0
582.8,632.2,619.3,591.7,360.0
521.3,573.3,494.2,488.5,320.0
434.6,538.9,518.7,566.2,280.0
384.7,560.1,474.3,427.6,320.0
666.0,715.0,634.2,798.8,740.0
453.1,582.7,595.9,597.3,500.0
367.4,595.4,537.9,473.5,360.0
501.7,641.2,595.4,726.9,500.0
412.4,546.6,522.0,562.2,360.0
602.7,647.7,541.0,390.7,840.0
560.5,671.5,627.9,692.6,840.0
509.9,608.8,517.3,414.6,480.0
434.5,527.2,602.0,665.9,660.0
382.7,520.7,463.2,518.1,0.0
582.7,620.6,488.2,533.9,620.0
485.9,586.0,486.9,654.1,600.0
463.2,592.9,482.9,587.2,480.0
473.4,602.0,524.6,502.8,580.0
431.2,518.2,520.7,445.7,480.0
664.8,746.2,666.6,772.2,980.0
516.7,652.6,597.2,677.1,480.0
512.7,611.1,505.9,464.8,640.0
409.5,447.6,455.9,582.6,680.0
704.6,758.0,685.7,802.3,980.0
588.1,647.7,559.9,430.7,720.0
392.0,536.6,424.5,536.6,320.0
423.7,471.1,451.1,413.8,280.0
434.8,504.4,467.6,433.2,520.0
714.7,729.8,644.1,787.0,980.0
488.6,499.8,467.2,396.1,360.0
574.6,610.9,533.0,612.9,860.0
