ID,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_MT,NU_NOTA_REDACAO
0,599.5,664.6,739.3,800.0
1,580.9,624.4,630.8,600.0
2,585.2,627.9,784.9,860.0
3,534.8,646.7,615.5,740.0
4,413.2,542.5,394.5,500.0
5,555.5,679.1,723.5,680.0
6,477.9,624.1,479.9,480.0
7,458.8,565.5,388.8,360.0
8,459.9,614.2,442.0,0.0
9,487.8,589.9,520.3,340.0
10,612.8,656.1,687.3,640.0
11,682.7,710.3,729.7,980.0
12,470.5,610.2,562.6,560.0
13,596.6,674.3,723.2,540.0
14,532.0,625.8,658.4,520.0
15,534.7,591.5,512.5,540.0
16,694.0,719.5,735.6,640.0
17,436.9,521.9,414.9,360.0
18,471.5,656.6,479.5,440.0
19,514.9,624.3,615.2,600.0
20,429.9,562.0,479.9,580.0
21,429.1,574.7,409.9,580.0
22,565.8,550.2,485.1,520.0
23,484.5,692.8,605.5,820.0
24,528.1,517.4,405.4,340.0
25,382.0,479.0,421.4,560.0
26,558.3,505.3,526.0,360.0
27,494.1,568.1,538.6,360.0
28,524.3,646.4,451.8,500.0
29,554.0,657.8,517.0,960.0
30,389.6,415.6,443.5,260.0
31,605.4,694.7,679.2,680.0
32,444.3,485.7,389.2,640.0
33,488.5,542.9,481.6,620.0
34,386.3,455.0,440.4,340.0
35,582.1,653.6,752.6,640.0
36,488.6,481.0,473.8,340.0
37,607.0,672.4,612.6,720.0
38,474.1,556.1,453.1,460.0
39,472.3,613.9,592.1,400.0
40,605.0,652.0,548.0,560.0
41,454.0,623.5,496.0,380.0
42,560.2,622.7,574.6,340.0
43,397.2,517.8,380.0,520.0
44,532.7,519.4,509.8,280.0
45,430.9,585.9,582.4,700.0
46,396.0,556.8,424.0,740.0
47,556.0,586.9,522.8,740.0
48,518.5,605.5,499.5,680.0
49,528.1,589.5,689.5,560.0
50,537.1,511.2,491.4,440.0
51,574.2,684.6,692.0,680.0
52,485.9,650.0,484.6,400.0
53,571.2,637.5,628.6,440.0
54,434.8,601.2,464.2,400.0
55,391.2,526.5,447.9,620.0
56,530.2,442.1,405.7,340.0
57,672.8,709.5,778.0,560.0
58,415.9,568.1,536.3,540.0
59,369.5,448.4,512.8,440.0
60,446.9,620.7,384.2,480.0
61,499.3,611.8,555.1,400.0
62,408.9,536.0,506.7,580.0
63,581.7,620.4,667.8,660.0
64,678.3,692.0,725.4,860.0
65,379.0,429.1,406.6,0.0
66,501.6,519.5,537.8,340.0
67,519.5,640.4,516.4,620.0
68,463.5,485.0,512.2,320.0
69,515.1,609.1,553.7,820.0
70,680.2,682.3,760.3,880.0
71,412.5,593.3,499.3,320.0
72,528.5,452.9,632.6,400.0
73,456.3,607.0,513.3,320.0
74,571.3,624.8,560.7,520.0
75,404.6,595.4,434.2,360.0
76,484.7,645.5,567.1,380.0
77,515.9,576.4,528.5,600.0
78,427.7,543.5,624.6,380.0
79,441.1,557.0,537.1,640.0
80,528.7,626.5,616.8,680.0
81,490.0,626.8,479.3,360.0
82,447.1,584.5,424.7,340.0
83,505.9,621.3,531.6,620.0
84,465.3,536.1,456.2,400.0
85,527.6,614.4,570.8,700.0
86,449.0,577.9,698.8,600.0
87,557.8,621.3,598.8,700.0
88,516.8,594.2,429.2,820.0
89,373.4,559.0,381.1,340.0
90,614.9,701.5,637.8,540.0
91,656.9,700.2,717.1,920.0
92,461.8,519.1,374.7,440.0
93,408.0,622.2,499.6,640.0
94,584.1,624.0,566.2,680.0
95,388.9,476.4,522.7,280.0
96,552.6,647.9,573.7,680.0
97,420.8,606.2,385.4,560.0
98,483.1,506.4,600.0,280.0
99,615.4,685.1,481.9,820.0
100,390.6,560.4,476.5,420.0
101,573.3,614.2,404.3,600.0
102,478.6,527.4,600.0,540.0
103,438.9,586.4,493.4,540.0
104,379.1,469.9,473.9,0.0
105,419.5,485.2,477.1,360.0
106,574.2,657.6,675.9,740.0
107,476.6,685.8,533.1,540.0
108,486.3,628.8,597.3,640.0
109,454.9,639.6,563.4,620.0
110,430.3,583.2,497.1,380.0
111,588.9,627.7,561.8,640.0
112,404.2,505.1,441.1,0.0
